ssObjectId,diaSourceId,midPointTai,ra,decl
c0,3754,60223.01974349523,300.7085317603891,4.70102475030433
c0,4578,60224.015239950895,300.7052978389679,4.688155701843729
c0,4581,60224.016582766526,300.70529027634456,4.6881380221567985
c0,4582,60224.01703039533,300.7052777909338,4.688127356580069
c0,4628,60224.039023391655,300.7052084618128,4.687860440581118
c0,4631,60224.04036233803,300.7051990024626,4.68783284998593
c0,6065,60225.99760294177,300.7001460284015,4.662631695567983
c0,6087,60226.008918186795,300.70012279252677,4.662493498444798
2014WD602,7607,60227.3249477381,14.931225006386285,-26.746972258073555
2014WD602,7661,60227.35043307519,14.930559743916092,-26.747060656022178
2013SJ112,9216,60229.28635695082,16.778281573063737,2.9576824140543687
2013SJ112,9266,60229.310247572816,16.777814065576308,2.957458198625591
2013SJ112,9872,60230.2013547434,16.761665579640635,2.950920414282438
2014WD602,10043,60230.28075157572,14.858604535485256,-26.75964388490977
2014WD602,10093,60230.30479320967,14.858008558433141,-26.75973194342467
2014WD602,10792,60231.24187819504,14.8350610114328,-26.76325904533321
2013SJ112,11557,60232.20999081624,16.725265050939754,2.9362755334365866
2013SJ112,13451,60235.14397847809,16.672240688454735,2.915144139830985
2013SJ112,13501,60235.16771346784,16.671780455507474,2.9149283571043316
2013SJ112,14252,60236.13247269572,16.654492907748306,2.9081348455146054
2014QN441,14402,60236.203170757246,51.529939399700595,-3.0664243351999123
2014QN441,14451,60236.227401931166,51.52943436245198,-3.0666833977185473
2014QN441,14452,60236.227848945826,51.529434120534575,-3.0666880981110505
2014WD602,14553,60236.27587031121,14.712455192760842,-26.778143769336648
2014WD602,14556,60236.27721955736,14.712402455057827,-26.778123759875644
2013SJ112,16696,60240.15581728588,16.582617042781578,2.8799932776554695
2014WD602,17576,60241.20003899517,14.594665282503286,-26.785864054426355
2014WD602,17626,60241.22429084465,14.594053726354389,-26.785860456778217
2014QN441,17662,60241.2406725659,51.424972297882505,-3.1155456834579494
2014QN441,17675,60241.24663784267,51.424842043724254,-3.115602986580121
2014QN441,17725,60241.27128691025,51.42429419393716,-3.11583498173535
2014QN441,22540,60249.16220389849,51.249765536532664,-3.186001929437601
2014QN441,22541,60249.162649768885,51.24976816582824,-3.1860088508171436
2014QN441,22591,60249.186617577536,51.249203692121284,-3.186217139622812
2014QN441,22633,60249.20574662022,51.24876112713696,-3.186382358251114
2014QN441,23298,60250.16326816026,51.22689879378083,-3.1942637422972453
2014QN441,23472,60250.246012177086,51.224969378396565,-3.194933132642844
2014QN441,23497,60250.25729704931,51.2247170402743,-3.195019127999978
2013SJ112,25333,60260.05747859408,16.253469973063204,2.7582610261676233
2014WD602,25635,60260.19901412245,14.17823839313246,-26.749962589477427
2014QN441,25692,60260.2247868456,50.991288347935324,-3.26783894096041
2014QN441,25742,60260.248499664136,50.990720857827114,-3.2679945516416034
2014QN441,26433,60261.22228057085,50.96756735733385,-3.274147791678853
2014QN441,26483,60261.24630923874,50.96698132545549,-3.274295622675057
90377,26535,60261.26957518382,69.88570425136083,10.429873487173348
90377,26585,60261.29372030884,69.88545251353156,10.429814034696433
90377,27992,60263.262955199425,69.86555430587424,10.425740451934043
2014QN441,28647,60264.22838189001,50.89594981627107,-3.291973195971874
2014QN441,28697,60264.25241530691,50.89536470034784,-3.2921122799467706
2013SJ112,29062,60265.08245460479,16.18100992301379,2.733550961447265
2014QN441,29377,60265.23387410105,50.87199029878468,-3.2975358771635435
2013SJ112,30450,60267.055745920734,16.154161494768857,2.7246293126701175
2013SJ112,30500,60267.08088888676,16.15382847163505,2.7244724924510737
2013SJ112,30553,60267.10468304916,16.15341972389973,2.7244087208718217
2014WD602,30755,60267.199935682904,14.047629225166474,-26.709914326753097
90377,30787,60267.21588879789,69.82476920884267,10.417903161739563
90377,30837,60267.23958690375,69.82451169263504,10.417851689791638
90377,31500,60268.21871410435,69.81426139163159,10.415995902938228
90377,31550,60268.24266321104,69.81400987533118,10.415952467823297
90377,31599,60268.26481755462,69.81377105306046,10.415912117806158
2014QN441,32257,60269.22917949738,50.777019586328436,-3.317585252107621
2014WD602,37544,60277.11242180205,13.890848038623801,-26.62949802221128
2014QN441,37697,60277.185596345815,50.59105442586184,-3.3474179363541325
2014QN441,37698,60277.18604364606,50.59105085798569,-3.347421945794787
90377,39731,60280.15337624727,69.68625311659696,10.396315477983824
90377,39781,60280.17704897061,69.68599117983081,10.396281684067132
2014QN441,41694,60283.09854925797,50.45778026200588,-3.3605548416011324
2014QN441,41744,60283.1225939503,50.45723403728141,-3.3605937791440197
2014QN441,41821,60283.15794945352,50.45643810285941,-3.3606456994895324
2014QN441,41871,60283.18217671842,50.455889786380226,-3.3607022776710216
90377,41898,60283.19434214494,69.65318570142563,10.392234435127916
90377,41899,60283.19478930818,69.65317927967175,10.39223608217393
90377,41948,60283.21810742424,69.65291326382453,10.392206601621277
90377,41949,60283.21855319268,69.6529184509551,10.392203915739376
2013SJ112,42934,60285.03357850085,15.956792456643996,2.6665451873526425
2013SJ112,42960,60285.04688529909,15.95668242756551,2.666534370735639
2013SJ112,45027,60288.03750285774,15.93321754414336,2.6612578895447045
